0,24,21,28,32,26,23,46,43,65
1,30,27,25,29,24,20,46,43,66
2,26,24,29,35,23,24,48,45,68
3,24,21,27,32,23,23,45,42,63
4,27,24,27,32,22,23,46,43,66
5,24,23,27,32,24,24,46,43,65
6,25,23,28,30,25,23,46,43,65
7,26,23,27,29,27,21,45,43,65
8,23,21,25,27,24,21,42,39,60
9,29,27,28,28,24,23,47,44,68
10,23,21,26,33,26,23,45,42,65
11,29,26,26,30,23,22,46,44,66
12,27,24,26,31,23,22,45,43,65
13,21,19,24,28,23,22,41,38,58
14,28,25,28,29,24,25,47,44,68
15,25,22,26,26,26,21,43,41,62
16,21,20,26,31,22,24,43,40,61
17,25,22,24,27,25,23,43,41,62
18,20,18,24,29,23,23,41,38,58
19,24,21,23,23,25,25,42,39,60
20,18,17,20,25,21,25,37,35,54
21,22,20,21,26,21,25,40,38,57
22,17,16,20,26,22,24,37,35,53
23,20,19,21,22,22,23,38,35,54
0,29,26,28,28,26,20,47,44,66
1,31,30,28,31,22,23,49,46,70
2,31,30,26,28,25,20,48,44,68
3,24,22,27,29,25,24,45,42,64
4,23,20,25,27,24,21,42,39,59
5,30,28,25,25,24,22,46,43,65
6,23,21,27,34,26,23,46,43,65
7,23,21,28,34,24,23,45,43,65
8,25,24,27,27,27,22,45,42,65
9,24,21,27,31,25,23,45,42,64
10,23,22,27,30,27,23,45,42,65
11,26,25,28,28,27,23,47,44,66
12,23,20,28,28,27,25,45,42,64
13,28,26,26,31,26,23,48,44,68
14,26,23,26,26,25,21,44,41,62
15,26,24,26,32,26,22,46,44,66
16,23,21,24,24,22,21,40,38,57
17,27,26,22,27,26,21,44,42,63
18,23,22,26,30,24,21,43,41,62
19,18,16,21,25,23,26,38,36,55
20,22,20,24,29,21,20,40,38,58
21,18,17,24,25,21,21,37,35,54
22,19,17,23,24,24,25,39,37,56
23,21,20,20,25,21,25,39,37,56
0,32,31,24,28,22,20,47,44,66
1,31,28,28,30,25,21,48,46,69
2,26,25,29,32,24,23,47,44,68
3,30,28,27,31,23,25,49,46,69
4,31,29,26,31,23,22,48,45,69
5,28,25,28,30,27,25,48,46,69
6,28,25,28,33,27,22,48,46,69
7,23,21,29,30,26,22,45,42,64
8,25,22,25,32,25,24,45,43,65
9,22,21,27,33,26,20,44,42,63
10,22,21,24,24,25,21,41,38,58
11,22,21,29,36,27,23,47,44,67
12,25,21,29,31,26,26,47,44,67
13,29,25,25,27,25,22,45,43,65
14,23,21,24,31,24,23,43,41,62
15,27,24,24,27,23,22,44,41,62
16,19,17,23,25,22,22,38,36,54
17,23,22,22,24,26,26,42,40,61
18,18,17,25,25,23,26,40,37,57
19,25,23,25,31,22,25,45,42,64
20,18,15,25,28,22,21,38,36,55
21,20,19,22,23,21,23,38,36,54
22,20,17,19,21,25,22,37,34,53
23,19,17,19,22,23,24,37,34,53
0,27,25,25,32,24,21,46,43,65
1,25,22,24,26,26,23,43,41,62
2,25,22,27,28,26,23,45,42,64
3,27,25,26,31,23,23,46,43,66
4,24,21,27,30,22,24,44,41,63
5,29,26,29,31,23,25,48,46,69
6,25,24,25,27,26,25,45,42,65
7,27,24,26,27,25,26,46,43,66
8,25,22,28,32,26,26,47,44,68
9,26,23,26,26,23,22,43,41,62
10,23,20,26,32,26,22,44,42,63
11,25,24,26,30,27,26,47,44,67
12,21,18,28,32,24,23,43,41,62
13,28,27,26,31,27,21,48,44,68
14,28,24,27,33,24,24,48,44,68
15,24,22,27,34,24,25,46,44,66
16,22,19,24,25,27,24,42,39,60
17,22,19,22,27,25,22,41,38,58
18,27,25,26,26,22,25,45,42,64
19,23,20,21,21,25,21,39,36,56
20,25,24,22,29,23,26,44,42,63
21,17,15,22,29,25,22,39,36,55
22,21,20,23,27,23,24,41,38,59
23,24,23,20,26,23,21,41,38,58
0,30,26,26,27,24,25,47,44,67
1,24,20,25,30,25,21,43,40,62
2,31,29,26,27,25,25,48,46,69
3,28,27,29,35,24,21,49,46,69
4,30,26,25,25,24,23,45,43,65
5,30,26,25,28,24,20,45,43,65
6,30,26,26,33,26,25,49,46,71
7,28,24,28,34,27,23,49,46,69
8,26,24,28,30,28,21,47,44,66
9,26,22,25,29,24,24,45,42,63
10,25,22,30,37,28,25,50,46,71
11,28,25,28,33,25,26,49,46,70
12,26,23,26,29,23,25,45,42,65
13,29,27,23,26,22,24,45,42,64
14,20,19,25,28,27,21,42,39,59
15,20,17,26,27,26,22,41,38,59
16,20,17,23,25,27,25,41,38,58
17,21,20,26,33,25,23,44,41,63
18,24,22,25,25,23,25,43,40,61
19,24,22,23,30,22,23,43,40,61
20,19,18,21,26,24,22,39,36,55
21,26,23,21,28,26,24,44,41,63
22,21,20,23,23,26,21,40,37,57
23,25,24,22,28,23,25,44,41,62
0,28,25,26,33,27,25,49,46,69
1,29,26,27,33,26,22,48,46,69
2,28,26,27,29,25,24,47,44,68
3,31,28,27,28,25,23,48,45,69
4,24,23,29,34,24,23,47,44,66
5,30,26,30,30,23,20,47,44,68
6,23,19,28,31,24,25,45,42,63
7,26,23,30,34,23,24,48,44,68
8,27,24,30,34,27,26,50,47,71
9,23,21,26,32,24,21,44,41,62
10,28,25,30,33,28,21,49,46,70
11,29,26,27,32,25,23,48,45,69
12,29,27,24,25,25,21,45,42,64
13,21,19,28,29,23,22,42,40,60
14,23,21,24,32,25,23,44,41,63
15,28,25,23,28,26,25,46,43,66
16,19,17,26,28,23,22,40,38,57
17,22,19,22,26,26,25,42,39,59
18,20,16,26,26,24,22,40,37,57
19,23,21,24,30,25,24,44,41,62
20,21,19,24,25,22,22,39,37,57
21,26,25,24,26,24,23,44,41,63
22,23,20,24,29,25,24,43,40,62
23,19,18,19,26,21,21,37,34,53
0,30,29,26,30,26,22,48,46,69
1,33,31,29,36,24,20,51,48,74
2,29,26,28,34,22,23,48,45,69
3,25,21,30,32,22,26,46,44,66
4,29,27,26,26,28,23,47,44,68
5,24,21,27,30,25,20,44,41,62
6,29,28,25,25,26,25,47,44,67
7,23,22,30,38,24,24,48,45,68
8,27,25,29,31,23,22,47,44,66
9,30,27,27,27,23,21,46,43,66
10,23,21,26,26,23,22,42,39,60
11,29,28,25,29,23,24,47,44,67
12,25,24,29,36,24,21,47,44,68
13,27,25,24,25,25,24,45,42,63
14,27,26,25,26,28,24,46,44,66
15,29,28,23,24,22,25,45,42,64
16,27,26,25,28,25,23,46,43,65
17,24,21,22,23,22,23,40,38,57
18,25,22,27,32,25,24,46,43,66
19,24,23,26,30,26,25,46,43,65
20,27,26,21,21,25,23,42,40,61
21,21,20,22,28,22,21,40,37,57
22,19,16,24,31,24,26,42,39,59
23,22,21,21,22,21,22,38,36,55
0,24,22,27,28,23,20,43,40,61
1,28,27,29,36,23,20,48,46,69
2,31,28,30,30,24,23,49,46,71
3,26,24,28,30,26,22,46,44,66
4,30,27,28,34,24,24,50,46,71
5,31,28,26,29,25,21,48,44,68
6,31,28,29,36,25,24,51,48,74
7,30,29,27,35,28,21,51,47,72
8,23,19,26,29,26,26,44,42,63
